,NO,약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영,lat,lng
117,118,청년약국,070-7763-3297,"서울특별시 노원구 공릉로 213, 102동 103호 (공릉동, 동신아파트)",11:00~22:00,11:00~22:00,11:00~22:00,11:00~22:00,11:00~22:00,11:00~22:00,11:00~22:00,11:00~22:00,37.627880389159,127.077392286374
118,119,북촌약국,02-720-8081,"서울특별시 종로구 율곡로3길 71, 1층 (소격동)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,11:00~20:00,11:00~20:00,11:00~20:00,37.578760425669,126.982029034848
119,120,365마트약국,02-2633-4865,"서울특별시 영등포구 영중로 125, 롯데마트 1층 (영등포동8가)",10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,37.5278167645388,126.904683469106
120,121,양재뿌리약국,02-572-4799,"서울특별시 서초구 남부순환로 지하 2585, 25호 (서초동, 양재역)",08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,11:00~18:00,-,11:00~18:00,37.4839347328908,127.034544193436
121,122,펜타약국,02-501-7337,"서울특별시 강북구 도봉로 지하50, 미아사거리역 B1층 416-115호 (미아동)",09:30~22:00,09:30~22:00,09:30~22:00,09:30~22:00,09:30~22:00,09:30~22:00,12:00~21:00,09:30~22:00,37.6132861094991,127.030098418544
122,123,가람약국,02-733-9303,"서울특별시 종로구 사직로8길 4, 301동 B127호 (사직동, 광화문 풍림스페이스본)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,37.5746716527447,126.968429762772
123,124,대치약국,02-6954-1778,"서울특별시 강남구 선릉로86길 42, 102호 (대치동)",11:00~22:00,11:00~22:00,11:00~22:00,11:00~22:00,11:00~22:00,11:00~22:00,-,-,37.5039519109378,127.053118165498
124,125,논현밝은약국,02-2135-2846,"서울특별시 강남구 강남대로122길 10, 영흥빌딩 1층 일부호 (논현동)",11:00~26:00,11:00~26:00,11:00~26:00,11:00~26:00,11:00~26:00,11:00~26:00,11:00~26:00,11:00~26:00,37.5076427273665,127.024075389189
125,126,모두약국,02-508-0429,"서울특별시 강남구 테헤란로 지하 156, B2층 219호 (역삼동)",08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,10:00~18:00,10:00~16:00,-,37.5007162693593,127.036618203089
126,127,허브약국,02-813-0831,"서울특별시 관악구 남부순환로 1471, 1층 (신림동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~19:30,09:00~19:30,-,-,37.4821004377094,126.91425850439
127,128,다나약국,02-597-3514,"서울특별시 서초구 효령로 229, 서울빌딩 1층 (서초동)",11:00~19:00,11:00~19:00,11:00~19:00,11:00~19:00,11:00~19:00,-,-,-,37.4838725773152,127.009102887991
128,129,대학약국,02-3672-3672,"서울특별시 종로구 창경궁로 160, 1,2층 (원남동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,09:00~13:30,-,-,,
129,130,유약국,02-2695-7576,"서울특별시 강서구 화곡로 329, 101호 (화곡동)",08:00~17:15,08:00~17:15,08:00~17:15,08:00~17:15,08:00~17:15,08:00~13:30,08:00~13:00,-,37.5534298465129,126.850536584044
130,131,화이트약국,02-432-6641,서울특별시 중랑구 사가정로 395 (면목동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:30,-,-,37.5808634963015,127.088656733057
131,132,명약국,02-3789-0624,"서울특별시 중구 남대문로9길 51, 효덕빌딩 5층 (을지로1가)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,-,-,-,37.5668136314671,126.979502322878
132,133,호수약국,02-733-5300,"서울특별시 종로구 삼봉로 57, 호수빌딩 지하1층 (수송동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,09:00~13:00,-,37.5725615164337,126.980473808393
133,134,건대지하철약국,02-461-1401,"서울특별시 광진구 능동로 지하110, 7호선 건대입구역 지하2층 201호 (화양동)",08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:30~13:00,-,-,37.5408416053893,127.07104643853
134,135,미소약국,02-954-3119,"서울특별시 도봉구 도봉로 678, 홈플러스데스코㈜방학점 지하2층 (방학동)",10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,37.6648602093274,127.043598783853
135,136,하늘약국,02-2201-0955,"서울특별시 광진구 광나루로 604, 진넥스 베르디엠 1층 2호 (구의동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,-,-,-,37.5415780693025,127.094914025322
136,137,파크온누리약국,02-447-0708,"서울특별시 광진구 천호대로 666, 그랜드파크 오피스텔 지하1층 B105-2호 (구의동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~14:00,-,-,37.5513571934247,127.08931299554
137,138,한사랑온누리약국,02-364-5455,"서울특별시 서대문구 신촌로 183, 유인빌딩 지하1층 101호 (대현동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,-,-,37.5570713640316,126.94632173155
138,139,건강과행복이열리는약국,02-591-3399,서울특별시 서초구 서초대로 307 (서초동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,13:00~21:00,13:00~21:00,37.4944061815038,127.015132071979
139,140,자연약국,02-313-4877,"서울특별시 마포구 마포대로 195, 4단지상가동 205호 (아현동, 마포래미안푸르지오)",08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~16:30,-,-,,
140,141,유림온누리약국,02-532-8225,"서울특별시 동작구 사당로 215, 107호 (사당동, 서림빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~15:00,11:00~21:00,-,37.4844593113614,126.972344800972
141,142,방학태평양약국,02-3491-6626,"서울특별시 도봉구 도당로 80, 방학동근생 1층 (방학동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,37.6648346469578,127.036344945016
142,143,은혜온누리약국,02-481-9191,서울특별시 강동구 구천면로 512-1,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,37.5490305245126,127.155275424742
143,144,청구약국,02-2201-6688,"서울특별시 광진구 아차산로 502, 진넥스 오딧세이 106,107호 (광장동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:30,-,-,37.5413567898085,127.097232342773
144,145,조아약국,02-2637-7888,"서울특별시 영등포구 문래로 191, 1층 102-1호 (영등포동4가, 영등포 대성 그랑그루)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,37.5184760808639,126.903251180927
145,146,강서종로약국,02-2606-8268,서울특별시 강서구 강서로 257 (내발산동),08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:00,-,09:30~21:00,37.5486867604595,126.836035160372
146,147,갤러리약국,02-412-8579,"서울특별시 송파구 올림픽로 212 (잠실동, 갤러리아팰리스)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,37.5107067799275,127.094231575378
147,148,한마음약국,02-309-1881,"서울특별시 은평구 은평터널로 196, (신사동)",09:00~18:20,09:00~18:20,09:00~18:20,09:00~13:00,09:00~18:20,09:00~13:00,-,-,37.5958276437388,126.909113934102
148,149,종로프라자약국,02-932-9033,"서울특별시 노원구 동일로 1353, (상계동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~13:00,-,-,37.6494212678049,127.061555296287
149,150,약사랑약국,02-2039-9112,"서울특별시 강남구 테헤란로 339, 1층 (역삼동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~20:00,09:00~20:00,09:00~20:00,37.5048110738687,127.048597161488
150,151,목동세명약국,02-2645-7525,서울특별시 양천구 목동중앙북로 27,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,11:00~20:00,11:00~20:00,37.5483132652872,126.866559971213
151,152,가람약국,02-2658-3518,"서울특별시 양천구 공항대로 564, 1층 5호 (목동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~15:30,-,10:00~16:00,37.5490944643642,126.86787195618
152,153,강서보건약국,02-2058-7501,"서울특별시 강서구 양천로30길 123-28, 1층 (마곡동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,15:00~19:00,10:00~17:00,37.5672925088315,126.823834713895
153,154,별약국,02-2062-1100,"서울특별시 양천구 오목로 345, 목동 슬로우스퀘어 108호 (목동)",09:00~21:00,09:00~19:30,09:00~20:30,09:00~21:00,09:00~21:00,09:00~16:00,-,-,37.5247775349288,126.875820730078
154,155,남강약국,02-866-7069,"서울특별시 관악구 난곡로 107-1, 1층 (신림동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,-,37.465130011114,126.919253439879
155,156,도담약국,02-449-9205,"서울특별시 송파구 동남로 209, 1층 101호 (가락동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-,-,37.496200793204,127.131064088063
156,157,메디칼약국,02-2668-6068,"서울특별시 강서구 공항대로41길 75, 경원프라자 110호 (등촌동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:00,-,-,37.5611486390411,126.846360147398
157,158,어진온누리약국,02-389-7239,"서울특별시 은평구 진관2로 19, 107호 (진관동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,-,37.6348535294175,126.919584718281
158,159,미도파약국,02-308-8887,"서울특별시 은평구 응암로 264, 서울빌딩 1층 (응암동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,09:00~19:00,-,-,37.5952888457558,126.918874876038
159,160,프라자약국,02-3285-7294,"서울특별시 관악구 봉천로 391, 115호 (봉천동, 두산아파트에이상가)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-,37.4834714149035,126.943250339993
160,161,옵티마자양미소약국,02-453-7985,"서울특별시 광진구 뚝섬로 606, (자양동)",10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,37.5326607546228,127.076862502132
161,162,이화온누리약국,02-402-2671,"서울특별시 송파구 마천로 295-1, 메디파크빌딩 (마천동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,37.4964277441164,127.14901274799
162,163,착한약국,02-873-9578,"서울특별시 관악구 호암로 526, 1층 (신림동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:30,-,-,37.464520691973,126.931742101339
163,164,삼정약국,02-2661-1618,서울특별시 강서구 금낭화로 136 (방화동),10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~17:00,-,-,37.5773556196369,126.812998103224
164,165,더블유약국,02-415-1559,"서울특별시 송파구 올림픽로 100, 효창타워 1층 (잠실동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:30,-,-,37.5114162901687,127.081689148468
165,166,우경약국,02-871-1549,"서울특별시 관악구 호암로 528, 1층 (신림동)",07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~16:30,-,-,37.4647534170789,126.931731490409
166,167,대교약국,02-780-4259,서울특별시 영등포구 여의대방로 383 (여의도동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,37.5193436883433,126.931504190261
167,168,백세비타민약국,070-8834-1809,"서울특별시 구로구 디지털로26길 98, 101호 (구로동, 디지털탑프라자)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,-,-,-,37.4815860854724,126.897348322184
168,169,이안약국,02-2699-7518,서울특별시 양천구 국회대로 252 (신정동),10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,-,-,-,37.5292673454353,126.863052596041
169,170,새희망약국,02-2636-6126,"서울특별시 영등포구 영등포로 146-1, 1층 2호 (당산동1가)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~15:00,-,-,37.520844597683,126.897645916904
170,171,신사온누리약국,02-518-6243,"서울특별시 강남구 강남대로 598, 보림빌딩 지하1층 (논현동)",09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~18:30,-,-,37.5151950134955,127.020363312256
171,172,이화약국,02-836-3011,서울특별시 영등포구 신길로 28 (신길동),08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~14:00,-,-,37.4951980337395,126.909088561235
172,173,스타약국,02-882-4062,"서울특별시 관악구 남부순환로 1940, 104호 (봉천동)",08:10~19:30,08:10~19:30,08:10~19:30,08:10~19:30,08:10~19:30,08:15~14:30,-,-,37.4764749310155,126.964287094969
173,174,마곡하나약국,02-3664-0319,"서울특별시 강서구 강서로 385, 106호 (마곡동, 우성에스비타워)",08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,09:00~18:00,09:00~21:30,37.5600926354663,126.838304106686
174,175,메디팜정다운약국,02-2664-1088,"서울특별시 강서구 마곡중앙5로 87, 107호 (마곡동, 우성르보아투)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~19:00,-,-,37.5671748308356,126.817774634056
175,176,미즈정문약국,02-2665-0302,"서울특별시 강서구 강서로 299, 1층 (내발산동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,-,-,37.5525461389729,126.836003506086
176,177,봄약국,02-2212-1620,"서울특별시 동대문구 장한로32길 7, 장안동의료시설 1층 (장안동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,37.5754686901664,127.072583233437
177,178,사과약국,02-3663-0625,"서울특별시 강서구 강서로 391, 108호 (마곡동, 문영비즈웍스)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,37.5605448342463,126.838427628497
178,179,세란온누리약국,02-2065-1103,"서울특별시 강서구 강서로 251, 세란빌딩 103호 (내발산동)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~15:00,-,-,37.5481280339601,126.83602235212
179,180,아름드리약국,02-3661-2060,"서울특별시 강서구 강서로56길 30, 1층 코너호 (등촌동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-,37.5593301016231,126.840341167751
180,181,오아시스약국,02-826-8501,"서울특별시 동작구 양녕로 287 (상도동, 상도동대우유로카운티)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,37.5054024269074,126.949314218171
181,182,우리온누리약국,02-825-5558,"서울특별시 동작구 흑석한강로 27, B106호 (흑석동, 흑석한강푸르지오)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-,09:00~16:00,37.5040994188129,126.966284444741
182,183,신용산수약국,02-2077-1122,"서울특별시 용산구 한강대로 109, 용성비즈텔 지하2층 227,233호 (한강로2가)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,09:00~15:00,-,-,37.5300046920783,126.968166439864
183,184,동아약국,02-985-1448,"서울특별시 강북구 도봉로 118, 1층 (미아동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,37.6194743329778,127.029158843625
184,185,맑은샘약국,02-485-5225,"서울특별시 송파구 동남로 236, 2층 (가락동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,37.497535407404,127.133518912828
185,186,사랑찬약국,02-522-0731,"서울특별시 관악구 과천대로 909, 남현프라자 지하2층 (남현동)",10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,37.4714704021418,126.982466468514
186,187,팜메이트수정약국,02-562-2757,"서울특별시 강남구 선릉로 338, 103호 (대치동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,10:00~18:00,-,-,,
187,188,양천뿌리약국,02-2696-4710,"서울특별시 양천구 지양로 74, 1층 (신월동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:30,-,-,37.5222668871463,126.833816052734
188,189,을지수온누리약국,02-2275-2113,"서울특별시 중구 마른내로 12, 1,2층 (저동2가)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,-,-,-,,
189,190,참바른약국,02-875-2555,"서울특별시 관악구 신원로 35, 삼모 더 프라임 타워 1층 (신림동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-,37.4823122359729,126.929023376476
190,191,홍제오늘약국,02-394-3430,"서울특별시 서대문구 통일로 460, 2층 (홍제동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,37.5896137961514,126.943493558018
191,192,라파온누리약국,02-995-4998,"서울특별시 도봉구 우이천로4길 42, 1층 (창동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,-,09:00~20:30,08:30~20:30,37.6340378181849,127.041677456465
192,193,후문약국,02-971-0241,서울특별시 노원구 공릉로59나길 64 (하계동),08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:30~13:30,-,-,37.6358986511018,127.069683496473
193,194,365종로약국,02-2215-8704,"서울특별시 동대문구 전농로 60-1, 1층 (답십리동)",08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,37.5702886659296,127.057408838132
194,195,서초우리약국,02-525-2588,"서울특별시 서초구 반포대로27길 13, 2층 206호 (서초동, 서초꽃마을 주얼리)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,37.4896931057588,127.007604684245
195,196,서초제일약국,02-583-7170,"서울특별시 서초구 방배로 111, 1층 (방배동, 근복빌딩)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~20:00,11:00~20:00,11:00~20:00,37.4839004182958,126.995637260382
196,197,우리온누리약국,02-557-5888,"서울특별시 강남구 남부순환로397길 57, 1층 1호 (대치동, 대치메디칼센터)",08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~16:00,-,-,37.4930515273501,127.058298289251
197,198,푸른소나무약국,02-2198-5333,"서울특별시 종로구 삼봉로 81, 207호 (수송동, 두산위브파빌리온)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,09:30~13:00,-,-,37.5725639351805,126.981506298154
198,199,안국온누리약국,02-6283-8008,"서울특별시 종로구 삼일대로 461, 101동 203호 (경운동, 운현궁에스케이허브)",08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,-,-,-,37.5755954796793,126.985829029631
199,200,성대약국,02-821-1519,서울특별시 동작구 성대로 11 (상도동),09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:00,09:00~20:00,09:00~20:00,37.5000251382095,126.93256034282
200,201,강동태평양약국,02-473-3377,서울특별시 강동구 양재대로 1343 (성내동),09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:00,09:00~22:00,37.5263393754437,127.135215245847
201,202,강동포도약국,02-423-3005,서울특별시 강동구 진황도로 74 (천호동),08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,09:00~15:00,-,-,37.5368057187568,127.134777827596
202,203,건강한세상약국,02-733-7870,"서울특별시 종로구 새문안로 21, 1,2,3,지하1층 (평동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,
203,204,경희중앙약국,02-968-4445,"서울특별시 동대문구 경희대로 19-9, 지하1층, 1층 (회기동)",08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~13:30,-,-,37.5932076524559,127.052044933366
